Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp
Cuba,CUB,11354651.0,11382146.0,11412167.0,11439767.0,11461432.0,11475982.0,11484636.0,24.78731963,23.23978714,22.85074328,21.29623433,20.86409957,19.73784135,19.7060474,66130664082.0,68124437665.0,69996226460.0,70729490571.0,73868565770.0,74248073998.0,75572286635.0
Belgium,BEL,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11382393.0,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847,492000000000.0,493000000000.0,494000000000.0,501000000000.0,509000000000.0,517000000000.0,526000000000.0
Benin,BEN,9460802.0,9729160.0,10004451.0,10286712.0,10575952.0,10872298.0,11175692.0,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876,7176751732.0,7522418418.0,8063258962.0,8575423620.0,8755148067.0,9102277423.0,9633652295.0
Bolivia,BOL,10078343.0,10239004.0,10400264.0,10562159.0,10724705.0,10887882.0,11051600.0,27.90420439,26.39024388,26.09046897,24.81882932,22.47639992,21.386604100000003,21.5689866,20672314545.0,21731207275.0,23208062665.0,24475355115.0,25664169101.0,26758468587.0,27881041740.0
Burundi,BDI,9043508.0,9319710.0,9600186.0,9891790.0,10199270.0,10524117.0,10864245.0,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349,38.89626795,2114083183.0,2208090294.0,2316820972.0,2415069278.0,2320881502.0,2306955749.0,2318490758.0
Dominican Republic,DOM,10027095.0,10154950.0,10281296.0,10405844.0,10528394.0,10648791.0,10766998.0,17.29977986,16.15283991,15.39695063,14.1880737,14.85822076,13.69022772,13.72632115,55674398434.0,57187276664.0,59975273688.0,64555004674.0,69095397696.0,73664129265.0,77017184252.0
Greece,GRC,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10753531.0,20.00154124,18.4207689,17.77941628,17.36504185,17.74055711,16.3289203,16.21826638,272000000000.0,252000000000.0,244000000000.0,246000000000.0,245000000000.0,244000000000.0,248000000000.0
Czech Republic,CZE,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,20.08124665,18.74317608,17.996287,17.39121549,17.41645169,16.1005837,16.07124535,211000000000.0,209000000000.0,208000000000.0,214000000000.0,225000000000.0,231000000000.0,241000000000.0
Portugal,PRT,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10.35501263,9.484802799,9.432044129,8.78479289,8.823283435,8.052763686,8.160752248,234000000000.0,225000000000.0,222000000000.0,224000000000.0,228000000000.0,232000000000.0,239000000000.0
Sweden,SWE,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,7.3912213310000014,6.6279419960000014,6.431168897,6.959197681,6.322498333,6.114258462,6.18466509,502000000000.0,501000000000.0,507000000000.0,520000000000.0,543000000000.0,558000000000.0,569000000000.0
