Country,2010,2011,2012,2013,2014,2015,2016,2017
Egypt,198.8077,213.271,211.9927,208.4508,197.1015,200.4222,208.9113,218.6644
El Salvador,6.317,6.5005,6.5057,6.0936,6.1695,6.5379,6.8343,6.992000000000001
Equatorial Guinea,4.6753,6.1225,5.1113,5.1589,5.3421,5.8365,6.4583,6.7149
Eritrea,0.5079899999999999,0.5714199999999999,0.62967,0.63878,0.66275,0.71653,0.76427,0.79305
Estonia,19.0149,19.0972,17.9381,19.6956,18.9038,15.8911,17.4935,19.8093
Ethiopia,6.3957,7.479,8.1495,10.0802,10.9911,12.3814,12.9419,13.3962
Faeroe Islands,0.63021,0.56792,0.5899,0.67784,0.59723,0.61738,0.66171,0.67294
Falkland Islands (Malvinas),,,,,,,,
Fiji,1.2012,1.0679,1.0411,1.1292,1.1465,1.2507,1.2641,1.3444
Finland,63.9918,56.5441,51.1119,51.9016,47.7997,44.3461,47.9264,45.956
France,397.9005,372.7926,374.1126,374.2586,343.5726,348.1637,350.1047,356.3007
French Guiana,,,,,,,,
French Polynesia,0.8573799999999999,0.83173,0.8134100000000001,0.8207399999999999,0.80242,0.87566,0.88569,0.94568
Gabon,4.7823,4.942,5.0773,5.2577,5.1695,5.2871,5.4761,5.5264
Gambia,0.43235,0.44701,0.45433999999999997,0.43235,0.5129600000000001,0.51672,0.55225,0.6221899999999999
Georgia,6.2091,7.7854,8.2474,7.6643,8.7908,9.4636,9.8389,10.9517
Germany,833.6849,810.8023,815.1974,832.643,793.6358,797.0782,801.753,799.3732
Ghana,9.7107,9.5335,11.5198,14.2811,14.122,14.4475,15.1037,16.7648
Gibraltar,,,,,,,,
Greece,97.34299999999999,94.5317,91.4178,81.7226,78.6558,74.9625,71.3731,76.0004
Greenland,0.66318,0.70715,0.56792,0.5532600000000001,0.50563,0.52269,0.5602199999999999,0.5697300000000001
Grenada,0.26014,0.25282,0.27114,0.30411,0.24181999999999998,0.25723,0.26963000000000004,0.27623000000000003
Guadeloupe,,,,,,,,
Guatemala,11.3615,11.5205,11.6466,13.2967,17.9254,19.8033,20.9371,20.878
Guinea,2.5749,2.7347,2.5428,2.2564,2.3921,2.4453,2.6017,2.9047
Guinea-Bissau,0.23815999999999998,0.24549,0.25282,0.25648000000000004,0.27114,0.27458,0.2939,0.33133
Guyana,1.7184,1.7807,1.9932,1.9346,2.0079,2.0179,2.0527,2.0766
Haiti,2.0934,2.1843,2.2789,2.3705,2.8246,2.9436,2.9984,2.9979
Honduras,7.8007,8.7735,8.7871,8.871,9.2762,10.0552,10.5762,10.6691
Hong Kong,40.4741,43.5746,43.1859,44.7636,45.9633,42.702,43.2359,43.0326
Hungary,52.1205,50.358000000000004,46.8085,43.7677,43.9154,46.6652,47.5782,50.3447
Iceland,3.6209,3.4864,3.4887,3.4818,3.4618,3.5364,3.49,3.48
India,1700.0274,1817.1716,1983.7588,1997.8786,2207.5339,2276.4072,2377.4479,2466.7654
Indonesia,427.7895,601.3254,633.145,486.13,460.0157,459.6288,464.8568,486.8438
Iran,564.0345,579.04,600.6803,608.9629,639.1113,630.3618,637.5622,672.3123
Iraq,110.9853,132.8301,151.0926,163.5704,166.368,167.7119,184.9387,194.4546
Ireland,41.6795,38.0093,38.1948,37.1828,36.6816,38.4436,39.9281,39.7384
Israel,68.2869,68.5947,74.7845,65.9971,63.5507,66.0959,65.1682,66.5534
Italy,424.8732,413.4315,391.9904,363.3999,348.4762,355.4832,350.32300000000004,355.4542
Jamaica,7.2596,7.7976,7.4182,8.038,7.4153,7.6977,7.8114,7.7726
Japan,1211.5729,1261.3986,1302.0829,1314.0696,1264.1733,1223.6665,1204.3186,1205.0612
Jordan,20.6143,21.2438,23.8131,23.7393,25.7577,23.1678,21.6301,21.3567
Kazakhstan,236.9621,227.0796,233.8608,239.8367,256.8567,263.4839,278.3619,292.5885
Kenya,11.745999999999999,12.9281,11.9672,12.7705,13.6564,14.5486,15.2342,15.8182
Kiribati,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.062287999999999996,0.067973,0.068752,0.073409
Kuwait,89.2722,90.6301,101.8903,97.8147,94.7633,102.32700000000001,103.456,104.3935
Kyrgyzstan,6.3129,7.5535,9.9998,9.6585,9.4131,9.9294,9.8599,10.4331
