Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rwanda,5.774,6.492,7.316,7.623,8.01,8.294,8.475,9.141,9.511
Saint Kitts and Nevis,0.767,0.819,0.8,0.849,0.917,0.936,0.959,0.992,1.019
Saint Lucia,1.399,1.444,1.438,1.481,1.542,1.641,1.688,1.81,1.874
Saint Vincent and the Grenadines,0.681,0.676,0.693,0.721,0.728,0.755,0.771,0.785,0.826
Samoa,0.639,0.739,0.801,0.805,0.804,0.804,0.786,0.841,0.861
San Marino,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.638
Saudi Arabia,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586,782.483
Senegal,16.245,17.895,17.835,18.966,19.802,17.777,18.982,21.135,24.027
Serbia,41.369,49.28,43.3,48.394,47.062,39.629,40.63,44.12,50.651
Seychelles,0.97,1.018,1.06,1.328,1.343,1.377,1.427,1.498,1.573
Sierra Leone,2.578,2.942,3.802,4.916,5.007,4.252,3.786,3.748,3.906
Singapore,236.42,276.622,291.61,305.157,313.26,306.254,316.558,336.679,361.109
Slovak Republic,89.668,98.271,93.466,98.509,101.109,87.814,89.885,95.809,106.585
Slovenia,48.103,51.338,46.378,48.131,49.969,43.124,44.66,48.553,54.242
Solomon Islands,0.681,0.933,1.064,1.13,1.174,1.158,1.235,1.298,1.424
Somalia,no data,6.192,6.39,6.341,6.419,6.669,6.836,7.124,7.48
South Africa,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135
"South Sudan, Republic of",no data,17.186,11.267,14.947,15.105,12.49,2.954,2.949,3.929
Spain,1434.286,1489.431,1336.759,1362.28,1379.098,1199.688,1238.01,1316.951,1425.865
Sri Lanka,56.71,65.267,68.419,74.277,79.312,80.557,81.776,87.351,88.223
Sudan,65.716,66.448,48.948,52.892,60.726,65.296,55.566,45.677,33.903
Suriname,4.368,4.422,4.98,5.146,5.241,4.787,3.166,3.069,3.427
Sweden,488.909,563.797,544.482,579.361,574.413,498.118,512.205,535.607,551.135
Switzerland,583.053,699.67,667.89,688.747,709.496,679.721,670.247,679.011,703.75
Syria,60.043,no data,no data,no data,no data,no data,no data,no data,no data
S†o Tom_ and PrÍncipe,0.197,0.233,0.253,0.303,0.349,0.316,0.354,0.393,0.449
Taiwan Province of China,446.141,485.671,495.919,511.599,530.515,525.601,531.357,574.895,589.391
Tajikistan,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52
Tanzania,31.086,33.583,39.649,45.68,50.003,47.385,49.774,53.271,57.862
Thailand,341.105,370.818,397.558,420.334,407.339,401.266,412.437,455.322,487.239
Timor-Leste,3.999,5.682,6.671,5.65,4.045,3.104,2.521,2.778,3.09
Togo,3.432,3.871,3.876,4.322,4.576,4.181,4.486,4.795,5.358
Tonga,0.39,0.456,0.459,0.446,0.447,0.413,0.428,0.455,0.47
Trinidad and Tobago,22.522,25.789,25.769,27.199,27.48,25.121,21.722,22.053,22.311
Tunisia,44.054,45.81,45.044,46.248,47.634,43.152,41.808,39.956,39.911
Turkey,772.29,832.497,873.696,950.328,934.075,859.449,863.39,851.521,766.428
Turkmenistan,22.583,29.233,35.164,39.198,43.524,35.8,36.18,37.926,44.114
Tuvalu,0.032,0.039,0.038,0.038,0.037,0.036,0.037,0.04,0.045
Uganda,20.212,21.108,24.587,25.71,26.723,22.96,24.75,26.456,28.122
